iter	Passed	Remaining
0	1	1131
1	2	1008
2	3	1106
3	4	1097
4	5	1107
5	6	1057
6	7	1026
7	8	996
8	8	978
9	9	962
10	10	944
11	11	930
12	12	918
13	12	908
14	13	898
15	14	891
16	15	882
17	16	874
18	17	881
19	18	901
20	19	896
21	20	901
22	21	894
23	21	889
24	22	882
25	23	874
26	24	867
27	24	861
28	25	856
29	26	854
30	27	849
31	27	844
32	28	839
33	29	835
34	30	830
35	31	831
36	31	827
37	32	832
38	33	831
39	34	834
40	35	830
41	36	826
42	36	823
43	37	818
44	38	814
45	39	811
46	39	808
47	40	804
48	41	801
49	42	798
50	42	795
51	43	792
52	44	789
53	45	790
54	45	788
55	46	785
56	47	785
57	48	784
58	49	783
59	49	780
60	50	778
61	51	775
62	51	772
63	52	769
64	53	766
65	54	764
66	54	761
67	55	759
68	56	756
69	56	753
70	57	750
71	57	747
72	58	743
73	60	752
74	60	751
75	61	749
76	62	748
77	63	756
78	64	753
79	65	751
80	66	749
81	66	746
82	67	740
83	67	737
84	68	734
85	68	731
86	69	728
87	70	725
88	70	722
89	71	719
90	71	716
91	72	713
92	72	711
93	73	712
94	74	711
95	76	718
96	77	717
97	77	715
98	78	714
99	79	711
100	79	709
101	80	707
102	80	705
103	81	704
104	82	702
105	82	699
106	83	696
107	84	694
108	84	691
109	85	689
110	85	686
111	86	684
112	86	681
113	87	679
114	88	678
115	88	676
116	89	673
117	89	671
118	90	669
119	90	666
120	91	664
121	92	662
122	92	661
123	93	659
124	93	657
125	94	655
126	95	653
127	95	652
128	96	650
129	96	648
130	97	646
131	98	644
132	98	642
133	99	640
134	99	639
135	100	637
136	100	635
137	101	633
138	102	632
139	102	630
140	103	628
141	103	626
142	104	624
143	104	622
144	105	621
145	106	620
146	106	619
147	107	618
148	108	616
149	108	615
150	109	614
151	109	612
152	110	611
153	110	609
154	111	607
155	112	606
156	112	604
157	113	602
158	113	600
159	114	599
160	114	596
161	115	595
162	115	593
163	116	591
164	116	590
165	117	588
166	117	587
167	118	585
168	118	584
169	119	584
170	120	583
171	121	582
172	121	581
173	122	580
174	122	579
175	123	578
176	124	577
177	124	575
178	125	574
179	125	572
180	126	571
181	126	569
182	127	568
183	127	567
184	128	565
185	128	564
186	129	562
187	130	561
188	130	560
189	131	559
190	131	558
191	132	557
192	132	556
193	133	554
194	134	553
195	134	552
196	135	551
197	135	550
198	136	549
199	137	548
200	137	547
201	138	546
202	138	545
203	139	543
204	139	542
205	140	541
206	140	539
207	141	538
208	142	537
209	142	536
210	143	535
211	143	533
212	144	532
213	144	531
214	145	530
215	145	529
216	146	527
217	147	529
218	148	528
219	148	527
220	149	526
221	150	526
222	150	525
223	151	524
224	152	524
225	152	523
226	153	522
227	154	521
228	154	520
229	155	519
230	155	518
231	156	517
232	156	515
233	157	514
234	157	513
235	158	512
236	158	511
237	159	510
238	159	508
239	160	507
240	161	507
241	161	506
242	162	506
243	163	505
244	163	504
245	164	503
246	165	504
247	166	503
248	166	502
249	167	502
250	168	501
251	168	500
252	169	499
253	169	498
254	170	497
255	170	496
256	171	495
257	172	495
258	172	494
259	173	493
260	174	492
261	174	491
262	175	490
263	175	489
264	176	488
265	176	487
266	177	486
267	177	485
268	178	484
269	178	483
270	179	483
271	180	483
272	181	482
273	181	482
274	182	481
275	183	480
276	183	479
277	184	478
278	184	477
279	185	477
280	186	476
281	187	476
282	187	475
283	188	474
284	189	474
285	189	473
286	190	473
287	191	472
288	191	471
289	192	470
290	192	470
291	193	469
292	194	469
293	195	469
294	196	468
295	196	468
296	197	467
297	198	466
298	198	466
299	199	465
300	200	464
301	201	464
302	201	463
303	202	463
304	202	462
305	203	461
306	204	460
307	204	460
308	205	459
309	206	458
310	206	458
311	207	457
312	208	457
313	208	456
314	209	456
315	210	455
316	211	454
317	211	454
318	212	453
319	213	452
320	213	451
321	214	451
322	214	450
323	215	449
324	216	448
325	216	447
326	217	446
327	217	445
328	218	445
329	218	444
330	219	443
331	219	442
332	220	441
333	220	440
334	221	439
335	222	439
336	222	438
337	223	437
338	223	436
339	224	436
340	225	435
341	225	434
342	226	434
343	227	433
344	227	432
345	228	431
346	229	430
347	229	430
348	230	429
349	230	428
350	231	427
351	231	426
352	232	425
353	232	424
354	233	423
355	233	423
356	234	422
357	234	421
358	235	420
359	236	420
360	236	419
361	237	418
362	238	418
363	238	417
364	239	416
365	240	416
366	240	415
367	241	414
368	242	414
369	242	413
370	243	412
371	243	411
372	244	410
373	244	410
374	245	409
375	246	408
376	246	407
377	247	406
378	247	405
379	248	404
380	248	403
381	249	403
382	249	402
383	250	401
384	250	400
385	251	400
386	252	399
387	252	398
388	253	397
389	253	397
390	254	396
391	255	395
392	255	394
393	256	394
394	256	393
395	257	392
396	258	391
397	258	391
398	259	390
399	259	389
400	260	388
401	260	387
402	261	387
403	261	386
404	262	385
405	262	384
406	263	383
407	264	383
408	264	382
409	265	381
410	265	381
411	266	380
412	267	379
413	267	378
414	268	378
415	269	377
416	269	377
417	270	376
418	270	375
419	271	375
420	272	374
421	272	373
422	273	372
423	273	371
424	274	371
425	274	370
426	275	369
427	275	368
428	276	367
429	276	367
430	277	366
431	278	365
432	278	364
433	279	364
434	279	363
435	280	362
436	280	361
437	281	360
438	281	360
439	282	359
440	283	359
441	283	358
442	284	357
443	285	357
444	285	356
445	286	355
446	286	355
447	287	354
448	288	353
449	288	352
450	289	351
451	289	351
452	290	350
453	290	349
454	291	348
455	291	348
456	292	347
457	292	346
458	293	345
459	294	345
460	294	344
461	295	343
462	295	342
463	296	342
464	296	341
465	297	341
466	298	340
467	298	339
468	299	339
469	300	338
470	300	337
471	301	336
472	301	336
473	302	335
474	302	334
475	303	333
476	303	332
477	304	332
478	304	331
479	305	330
480	305	330
481	306	329
482	307	328
483	307	327
484	308	327
485	308	326
486	309	325
487	309	324
488	310	324
489	310	323
490	311	322
491	312	322
492	312	321
493	313	320
494	313	320
495	314	319
496	315	318
497	315	318
498	316	317
499	316	316
500	317	315
501	317	315
502	318	314
503	318	313
504	319	312
505	319	312
506	320	311
507	321	310
508	321	310
509	322	309
510	322	308
511	323	308
512	323	307
513	324	306
514	324	305
515	325	305
516	325	304
517	326	303
518	327	303
519	327	302
520	328	302
521	329	301
522	329	300
523	330	300
524	330	299
525	331	298
526	332	298
527	332	297
528	333	296
529	333	295
530	334	295
531	334	294
532	335	293
533	335	293
534	336	292
535	337	291
536	337	291
537	338	290
538	339	289
539	339	289
540	340	288
541	341	288
542	341	287
543	342	287
544	343	286
545	343	285
546	344	285
547	345	284
548	345	283
549	346	283
550	346	282
551	347	281
552	347	281
553	348	280
554	348	279
555	349	279
556	350	278
557	350	277
558	351	277
559	351	276
560	352	275
561	352	274
562	353	274
563	353	273
564	354	272
565	354	272
566	355	271
567	356	270
568	356	270
569	357	269
570	358	269
571	358	268
572	359	267
573	359	267
574	360	266
575	361	265
576	361	265
577	362	264
578	362	263
579	363	263
580	363	262
581	364	261
582	364	261
583	365	260
584	366	259
585	366	258
586	367	258
587	367	257
588	368	256
589	368	256
590	369	255
591	369	254
592	370	254
593	371	253
594	371	253
595	372	252
596	373	251
597	373	251
598	374	250
599	374	249
600	375	249
601	375	248
602	376	247
603	377	247
604	377	246
605	378	245
606	378	245
607	379	244
608	379	243
609	380	243
610	380	242
611	381	241
612	382	241
613	382	240
614	383	239
615	383	239
616	384	238
617	384	237
618	385	237
619	386	236
620	386	236
621	387	235
622	388	234
623	388	234
624	389	233
625	389	232
626	390	232
627	390	231
628	391	230
629	391	230
630	392	229
631	392	228
632	393	228
633	393	227
634	394	226
635	395	226
636	395	225
637	396	224
638	396	224
639	397	223
640	397	222
641	398	222
642	398	221
643	399	220
644	400	220
645	400	219
646	401	218
647	401	218
648	402	217
649	402	216
650	403	216
651	403	215
652	404	214
653	405	214
654	405	213
655	406	212
656	406	212
657	407	211
658	407	210
659	408	210
660	408	209
661	409	208
662	409	208
663	410	207
664	410	206
665	411	206
666	411	205
667	412	205
668	413	204
669	413	203
670	414	203
671	415	202
672	415	201
673	416	201
674	416	200
675	417	200
676	417	199
677	418	198
678	418	198
679	419	197
680	419	196
681	420	196
682	421	195
683	421	194
684	422	194
685	422	193
686	423	192
687	423	192
688	424	191
689	424	190
690	425	190
691	425	189
692	426	188
693	427	188
694	427	187
695	428	186
696	428	186
697	429	185
698	429	185
699	430	184
700	430	183
701	431	183
702	432	182
703	432	181
704	433	181
705	433	180
706	434	179
707	434	179
708	435	178
